frame,decision,left_status,right_status,detections
0,path clear,far,far,"chair:0.52:434,839,578,1151"
1,path clear,far,far,"chair:0.44:434,841,578,1156"
2,path clear,far,far,"chair:0.55:433,844,575,1157"
3,path clear,far,far,"chair:0.44:429,845,570,1155"
4,path clear,far,far,"chair:0.50:431,846,568,1154"
5,path clear,far,far,"chair:0.48:433,848,568,1156"
6,path clear,far,far,"chair:0.52:434,852,566,1157"
7,path clear,far,far,"chair:0.48:434,854,566,1165;chair:0.46:522,879,800,1257"
8,path clear,far,far,"chair:0.50:432,857,567,1169"
9,path clear,far,far,"chair:0.46:434,858,566,1174"
10,path clear,far,far,"chair:0.50:436,859,567,1174"
11,path clear,far,far,"chair:0.48:435,860,568,1180"
12,path clear,far,far,"chair:0.61:434,863,568,1183"
13,path clear,far,far,"chair:0.57:433,866,567,1184"
14,path clear,far,far,"chair:0.53:433,867,567,1183;chair:0.42:520,890,800,1266"
15,path clear,far,far,"chair:0.54:438,868,567,1184;chair:0.45:522,887,806,1259"
16,path clear,far,far,"chair:0.51:434,870,566,1191;chair:0.43:522,959,803,1282"
17,path clear,far,far,"chair:0.40:437,872,566,1194"
18,path clear,far,far,"chair:0.55:435,876,572,1198"
19,path clear,far,far,"chair:0.53:431,877,573,1198"
20,path clear,clear,clear,
21,path clear,far,far,"chair:0.47:434,881,576,1202"
22,path clear,far,far,"chair:0.61:439,883,578,1200"
23,path clear,far,far,"chair:0.64:440,884,582,1200"
24,path clear,far,far,"chair:0.63:438,885,580,1203"
25,path clear,far,far,"chair:0.52:436,885,579,1207"
26,path clear,far,far,"chair:0.60:439,887,576,1213"
27,path clear,far,far,"chair:0.52:439,888,578,1204;chair:0.44:522,917,825,1301"
28,path clear,far,far,"chair:0.51:439,889,577,1209;chair:0.40:520,913,824,1325"
29,path clear,far,far,"chair:0.49:530,915,825,1304;chair:0.41:439,892,579,1210"
30,path clear,clear,near,"chair:0.54:539,915,825,1341"
31,path clear,clear,far,"chair:0.44:540,924,828,1331"
32,path clear,clear,near,"chair:0.50:536,924,829,1343"
33,path clear,clear,near,"chair:0.52:541,920,836,1338"
34,path clear,clear,clear,
35,path clear,far,far,"chair:0.50:451,912,596,1247"
36,path clear,clear,clear,
37,path clear,clear,far,"chair:0.43:542,1012,844,1366"
38,path clear,far,far,"chair:0.42:455,917,600,1251"
39,path clear,clear,clear,
40,path clear,clear,clear,
41,path clear,clear,far,"chair:0.45:544,1016,850,1390"
42,path clear,far,far,"chair:0.47:546,975,849,1363;chair:0.45:455,927,607,1259"
43,path clear,clear,clear,
44,path clear,far,far,"chair:0.49:452,930,611,1282"
45,path clear,far,far,"chair:0.51:454,928,605,1267"
46,path clear,far,far,"chair:0.41:451,929,603,1277"
47,path clear,far,far,"chair:0.51:450,932,608,1288"
48,path clear,far,far,"chair:0.48:450,931,607,1293"
49,path clear,far,far,"chair:0.53:448,933,610,1297"
50,path clear,far,far,"chair:0.53:448,940,612,1304"
51,path clear,far,far,"chair:0.63:446,941,614,1310"
52,path clear,far,far,"chair:0.55:444,941,608,1303"
53,path clear,far,far,"chair:0.56:441,940,610,1314"
54,path clear,far,far,"chair:0.55:441,945,608,1307"
55,path clear,far,far,"chair:0.59:442,947,602,1309"
56,path clear,far,far,"chair:0.59:444,945,600,1302"
57,path clear,far,far,"chair:0.56:440,950,601,1313"
58,path clear,far,far,"chair:0.46:440,946,602,1318"
59,path clear,far,far,"chair:0.54:436,949,595,1308"
60,path clear,far,far,"chair:0.62:434,947,610,1319"
61,path clear,far,far,"chair:0.57:436,949,610,1318"
62,path clear,far,far,"chair:0.54:435,946,619,1313"
63,path clear,far,far,"chair:0.55:439,946,609,1324"
64,path clear,far,near,"chair:0.55:550,985,879,1475;chair:0.53:441,947,610,1334"
65,path clear,far,far,"chair:0.56:441,948,612,1334"
66,path clear,far,far,"chair:0.46:442,938,615,1341"
67,path clear,far,far,"chair:0.59:446,941,613,1335"
68,path clear,far,far,"chair:0.54:442,939,616,1344"
69,path clear,far,far,"chair:0.53:442,940,623,1343"
70,path clear,near,near,"chair:0.57:441,941,629,1353"
71,path clear,near,near,"chair:0.59:441,940,626,1351"
72,path clear,near,near,"chair:0.53:440,942,626,1359"
73,path clear,far,near,"chair:0.60:439,942,622,1340;chair:0.55:545,953,910,1503"
74,path clear,far,near,"chair:0.58:546,961,910,1510;chair:0.41:439,943,617,1329"
75,path clear,far,near,"chair:0.52:547,967,916,1509;chair:0.47:438,943,620,1348"
76,path clear,near,near,"chair:0.61:538,955,921,1510;chair:0.61:433,942,628,1351"
77,path clear,clear,clear,
78,path clear,near,near,"chair:0.66:537,968,922,1523;chair:0.42:424,935,627,1354"
79,path clear,near,near,"chair:0.63:539,988,921,1517;chair:0.59:421,933,621,1359"
80,path clear,near,near,"chair:0.61:540,959,923,1529;chair:0.48:417,933,619,1361"
81,path clear,clear,near,"chair:0.60:540,969,922,1541"
82,path clear,clear,near,"chair:0.67:530,965,921,1540"
83,path clear,near,near,"chair:0.77:530,964,920,1547;chair:0.60:409,928,620,1354"
84,path clear,near,near,"chair:0.68:530,958,919,1546;chair:0.51:407,925,624,1359"
85,path clear,near,near,"chair:0.72:530,961,923,1550;chair:0.54:406,928,614,1354;chair:0.42:669,869,770,923"
86,path clear,near,near,"chair:0.75:533,968,920,1541;chair:0.48:403,924,619,1358"
87,path clear,near,near,"chair:0.80:527,966,923,1538;chair:0.43:402,918,614,1359"
88,path clear,near,near,"chair:0.76:531,949,917,1552;chair:0.41:401,914,613,1365"
89,path clear,near,near,"chair:0.73:526,960,927,1559;chair:0.41:397,915,622,1369"
90,path clear,near,near,"chair:0.76:528,952,929,1561;chair:0.43:398,916,615,1369"
91,path clear,near,near,"chair:0.78:527,967,936,1544;chair:0.46:397,916,609,1368"
92,path clear,near,near,"chair:0.80:525,965,942,1560;chair:0.46:396,912,613,1374"
93,path clear,near,near,"chair:0.76:528,960,944,1576;chair:0.65:393,916,612,1370"
94,path clear,clear,near,"chair:0.80:526,968,939,1588"
95,path clear,clear,near,"chair:0.76:526,966,953,1597"
96,path clear,near,near,"chair:0.84:525,960,956,1600;chair:0.42:389,910,628,1376"
97,path clear,near,near,"chair:0.75:534,970,955,1600;chair:0.41:391,909,622,1377"
98,path clear,near,near,"chair:0.77:531,953,963,1587;chair:0.46:402,903,623,1366"
99,path clear,clear,near,"chair:0.78:547,952,970,1586"
100,path clear,clear,near,"chair:0.79:541,952,975,1602;chair:0.42:610,828,791,894"
101,path clear,clear,near,"chair:0.76:540,950,981,1600"
102,path clear,clear,near,"chair:0.78:537,946,987,1605"
103,path clear,clear,near,"chair:0.75:541,939,991,1601"
104,path clear,clear,near,"chair:0.80:533,928,989,1611"
105,path clear,clear,near,"chair:0.80:539,930,994,1617;chair:0.44:681,808,797,870"
106,path clear,clear,near,"chair:0.75:550,934,1007,1624;chair:0.55:683,805,800,867"
107,path clear,clear,near,"chair:0.80:545,937,1011,1629;chair:0.45:684,802,804,864"
108,path clear,clear,near,"chair:0.80:559,937,1015,1632"
109,path clear,near,near,"chair:0.81:560,935,1038,1639;chair:0.41:399,874,642,1366"
110,path clear,clear,near,"chair:0.84:562,937,1039,1649;chair:0.47:684,794,805,857"
111,path clear,clear,near,"chair:0.80:567,937,1051,1656"
112,path clear,clear,near,"chair:0.81:564,938,1046,1657"
113,path clear,clear,near,"chair:0.79:561,938,1041,1657;chair:0.43:687,786,807,850"
114,path clear,clear,near,"chair:0.76:564,936,1039,1659;chair:0.42:686,781,810,849"
115,path clear,clear,near,"chair:0.82:559,933,1047,1666"
116,path clear,clear,near,"chair:0.78:544,901,1053,1667"
117,path clear,clear,near,"chair:0.72:572,929,1045,1673"
118,"obstacle right, move left",clear,very_near,"chair:0.62:493,884,1047,1681;chair:0.48:683,763,802,829"
119,"obstacle right, move left",clear,very_near,"chair:0.62:592,932,1049,1661;chair:0.59:678,760,800,827;chair:0.52:462,878,1055,1684"
120,"obstacle right, move left",clear,very_near,"chair:0.70:586,928,1051,1677;chair:0.60:407,877,1060,1694;chair:0.54:676,756,801,824"
121,"obstacle right, move left",clear,very_near,"chair:0.52:363,853,1062,1701;chair:0.51:594,927,1057,1683;chair:0.47:676,751,802,819"
122,"obstacle right, move left",near,very_near,"chair:0.55:596,919,1060,1674;chair:0.52:674,746,804,815;chair:0.49:354,849,1067,1701;chair:0.44:365,832,763,1588"
123,"obstacle right, move left",near,very_near,"chair:0.53:607,917,1058,1671;chair:0.49:352,846,1060,1703;chair:0.49:362,830,762,1541"
124,"obstacle right, move left",clear,very_near,"chair:0.44:612,902,1061,1696;chair:0.41:672,737,801,806"
125,"obstacle right, move left",near,very_near,"chair:0.50:671,732,802,803;chair:0.48:609,903,1069,1702;chair:0.48:356,822,757,1463"
126,"obstacle right, move left",near,very_near,"chair:0.47:353,821,767,1476;chair:0.46:608,899,1074,1715;chair:0.44:352,832,1069,1721"
127,"obstacle right, move left",near,very_near,"chair:0.42:348,819,774,1480;chair:0.41:350,817,1068,1725"
128,"obstacle right, move left",near,very_near,"chair:0.57:345,816,788,1493;chair:0.47:346,819,1069,1731"
129,"obstacle right, move left",clear,very_near,"chair:0.56:345,808,1070,1736;chair:0.47:673,712,800,783"
130,"obstacle right, move left",clear,very_near,"chair:0.61:345,804,1070,1736;chair:0.56:671,706,805,777"
131,"obstacle right, move left",clear,very_near,"chair:0.54:664,699,806,773;chair:0.48:342,798,1072,1739"
132,path clear,near,near,"chair:0.52:339,796,787,1499"
133,"obstacle right, move left",near,very_near,"chair:0.52:338,787,788,1489;chair:0.42:343,789,1076,1747;chair:0.41:656,685,810,761"
134,path clear,near,near,"chair:0.51:340,779,805,1512"
135,path clear,near,near,"chair:0.48:338,774,819,1539"
136,path clear,near,near,"chair:0.52:336,764,810,1508;chair:0.42:675,669,812,745"
137,"obstacle right, move left",near,very_near,"chair:0.50:333,766,814,1521;chair:0.45:625,861,1078,1730"
138,"obstacle right, move left",near,very_near,"chair:0.55:330,763,819,1531;chair:0.47:667,659,808,735;chair:0.44:627,860,1080,1756"
139,path clear,near,near,"chair:0.56:319,756,822,1557;chair:0.55:663,653,803,731"
140,path clear,near,near,"chair:0.48:313,749,796,1423"
141,path clear,near,near,"chair:0.51:306,748,802,1502"
142,path clear,clear,clear,
143,path clear,clear,far,"chair:0.42:619,636,763,716"
144,path clear,clear,clear,
145,path clear,near,near,"chair:0.51:237,742,811,1559"
146,stop,very_near,very_near,"chair:0.44:214,743,827,1591;chair:0.42:212,745,1038,1732"
147,stop,very_near,very_near,"chair:0.61:527,629,669,712;chair:0.59:174,742,1061,1792"
148,path clear,clear,clear,
149,stop,very_near,very_near,"chair:0.62:94,737,998,1687;chair:0.57:94,734,727,1601;chair:0.47:430,623,598,707"
150,stop,very_near,very_near,"chair:0.58:56,736,988,1796"
151,stop,very_near,very_near,"chair:0.73:4,732,942,1638;chair:0.43:380,618,523,700"
152,path clear,clear,clear,
153,path clear,far,clear,"chair:0.44:281,607,426,688"
154,path clear,clear,clear,
155,path clear,clear,clear,
156,path clear,clear,clear,
157,path clear,far,clear,"chair:0.41:163,596,315,684"
158,path clear,clear,clear,
159,path clear,far,clear,"chair:0.42:9,591,259,685"
160,stop,very_near,very_near,"dining table:0.43:9,617,1078,1861;chair:0.43:58,592,231,678"
161,stop,very_near,very_near,"chair:0.46:4,584,200,677;dining table:0.45:5,617,1073,1854"
162,stop,very_near,very_near,"chair:0.65:3,583,171,676;dining table:0.42:4,624,1071,1856"
163,path clear,far,clear,"chair:0.62:0,587,138,674"
164,stop,very_near,very_near,"chair:0.53:0,586,106,672;dining table:0.43:0,622,1045,1844"
165,path clear,clear,clear,
166,path clear,clear,clear,
167,path clear,clear,clear,
168,path clear,clear,clear,
169,path clear,clear,clear,
170,path clear,clear,clear,
171,path clear,clear,clear,
172,path clear,clear,clear,
173,path clear,clear,clear,
174,path clear,clear,clear,
175,path clear,clear,clear,
176,path clear,clear,clear,
177,path clear,clear,clear,
178,path clear,clear,clear,
179,path clear,clear,clear,
180,path clear,clear,clear,
181,path clear,clear,clear,
182,path clear,clear,clear,
183,path clear,clear,near,"oven:0.43:899,666,1078,1266"
184,path clear,clear,near,"oven:0.75:881,654,1078,1266"
185,path clear,clear,near,"oven:0.76:866,611,1079,1269"
186,path clear,clear,near,"oven:0.88:846,513,1079,1277"
187,path clear,clear,near,"oven:0.88:832,513,1078,1278"
188,path clear,clear,near,"oven:0.92:819,514,1079,1275"
189,path clear,clear,near,"oven:0.92:809,513,1079,1276"
190,path clear,clear,near,"oven:0.93:799,512,1079,1277"
191,path clear,clear,near,"oven:0.92:790,512,1079,1277"
192,path clear,clear,near,"oven:0.91:784,512,1079,1280;microwave:0.44:908,81,1080,406"
193,path clear,clear,near,"oven:0.92:779,513,1079,1285"
194,path clear,clear,near,"oven:0.92:774,515,1079,1285"
195,path clear,clear,near,"oven:0.93:772,514,1079,1287"
196,path clear,clear,near,"oven:0.93:772,514,1079,1287"
197,path clear,clear,near,"oven:0.93:771,513,1079,1288"
198,path clear,clear,near,"oven:0.93:773,514,1079,1287"
199,path clear,clear,near,"oven:0.93:774,514,1079,1287;microwave:0.43:897,79,1080,394"
200,path clear,clear,near,"oven:0.92:779,514,1079,1287"
201,path clear,clear,near,"oven:0.91:785,512,1079,1285;microwave:0.44:906,80,1080,395"
202,path clear,clear,near,"oven:0.91:789,512,1079,1282;microwave:0.48:912,80,1080,395"
203,path clear,clear,near,"oven:0.93:796,511,1079,1281"
204,path clear,clear,near,"oven:0.92:807,513,1080,1281"
205,path clear,clear,near,"oven:0.92:817,514,1079,1279"
206,path clear,clear,near,"oven:0.90:829,513,1077,1279"
207,path clear,clear,near,"oven:0.86:845,516,1078,1278"
208,path clear,clear,near,"oven:0.87:868,656,1079,1279"
209,path clear,clear,near,"oven:0.72:886,679,1078,1275"
210,path clear,clear,near,"oven:0.50:911,679,1078,1271"
211,path clear,clear,clear,
212,path clear,clear,clear,
213,path clear,clear,clear,
214,path clear,clear,clear,
215,path clear,clear,clear,
216,path clear,clear,clear,
217,path clear,clear,clear,
218,path clear,clear,clear,
219,path clear,clear,clear,
220,path clear,clear,clear,
221,path clear,clear,clear,
222,path clear,clear,clear,
223,path clear,clear,clear,
224,path clear,clear,clear,
225,path clear,clear,clear,
226,path clear,clear,clear,
227,path clear,clear,clear,
228,path clear,clear,clear,
229,path clear,clear,clear,
230,path clear,clear,clear,
231,path clear,clear,clear,
232,path clear,clear,clear,
233,path clear,clear,clear,
234,path clear,clear,clear,
235,path clear,clear,clear,
236,path clear,clear,clear,
237,path clear,clear,clear,
238,path clear,clear,clear,
239,stop,very_near,very_near,"chair:0.56:0,680,1002,1695"
240,stop,very_near,very_near,"chair:0.41:24,672,1027,1821"
241,"obstacle left, move right",very_near,clear,"chair:0.54:42,661,804,1654"
242,stop,very_near,very_near,"chair:0.42:87,670,1045,1655"
243,stop,very_near,very_near,"chair:0.53:101,675,1078,1659;tv:0.49:938,221,1080,694"
244,stop,very_near,very_near,"chair:0.61:132,677,1079,1680"
245,stop,very_near,very_near,"chair:0.68:148,682,914,1650;chair:0.48:559,563,708,650"
246,stop,very_near,very_near,"chair:0.67:577,562,731,649;chair:0.63:169,671,949,1716"
247,path clear,clear,far,"chair:0.61:599,560,752,648"
248,path clear,clear,far,"chair:0.60:618,559,771,647"
249,path clear,clear,near,"chair:0.59:639,556,790,645;chair:0.51:611,863,1077,1630"
250,"obstacle right, move left",clear,very_near,"chair:0.49:255,671,1073,1909;chair:0.46:643,555,808,645"
251,"obstacle right, move left",clear,very_near,"chair:0.50:665,554,827,643;chair:0.45:264,666,1075,1859"
252,"obstacle right, move left",clear,very_near,"chair:0.53:277,651,1068,1909;chair:0.52:687,552,842,643;laptop:0.47:993,467,1080,738"
253,"obstacle right, move left",clear,very_near,"chair:0.48:300,654,1072,1907;chair:0.47:699,551,859,643"
254,"obstacle right, move left",clear,very_near,"chair:0.64:714,550,874,641;chair:0.49:301,638,1078,1906"
255,"obstacle right, move left",clear,very_near,"chair:0.54:326,651,1078,1886;chair:0.40:720,549,888,640"
256,"obstacle right, move left",clear,very_near,"chair:0.70:739,549,901,640;chair:0.45:338,645,1079,1655"
257,stop,very_near,very_near,"chair:0.65:751,549,913,640;chair:0.51:345,642,1049,1900;chair:0.49:345,645,941,1637"
258,path clear,clear,far,"chair:0.74:764,548,927,639"
259,path clear,clear,far,"chair:0.55:774,547,938,638"
260,"obstacle right, move left",clear,very_near,"chair:0.56:771,547,948,638;chair:0.53:370,647,1077,1692;chair:0.44:697,547,947,638"
261,"obstacle right, move left",clear,very_near,"chair:0.62:796,546,958,638;chair:0.43:398,648,1080,1863"
262,"obstacle right, move left",clear,very_near,"chair:0.67:803,543,970,637;chair:0.43:382,627,1078,1654"
263,"obstacle right, move left",clear,very_near,"chair:0.44:400,631,1075,1664"
264,"obstacle right, move left",clear,very_near,"chair:0.44:822,540,990,635;chair:0.40:420,648,1078,1907"
265,"obstacle right, move left",clear,very_near,"chair:0.48:414,632,1045,1651"
266,"obstacle right, move left",clear,very_near,"chair:0.65:847,540,1011,632;chair:0.43:425,617,1078,1690"
267,path clear,clear,clear,
268,"obstacle right, move left",clear,very_near,"chair:0.61:440,614,1021,1645;chair:0.58:865,536,1034,630"
269,"obstacle right, move left",clear,very_near,"chair:0.51:448,617,1025,1625"
270,"obstacle right, move left",clear,very_near,"chair:0.58:453,622,1040,1659;chair:0.48:883,533,1058,628"
271,"obstacle right, move left",clear,very_near,"chair:0.68:468,624,1069,1635"
272,"obstacle right, move left",clear,very_near,"chair:0.54:466,588,1054,1660"
273,"obstacle right, move left",clear,very_near,"chair:0.54:478,596,1065,1683"
274,"obstacle right, move left",clear,very_near,"chair:0.49:494,613,1067,1661"
275,"obstacle right, move left",clear,very_near,"chair:0.54:500,614,1076,1626"
276,"obstacle right, move left",clear,very_near,"chair:0.53:512,613,1080,1635"
277,"obstacle right, move left",clear,very_near,"chair:0.63:524,624,1080,1643"
278,"obstacle right, move left",clear,very_near,"chair:0.48:526,601,1080,1677"
279,"obstacle right, move left",clear,very_near,"chair:0.54:527,569,1080,1697"
280,"obstacle right, move left",clear,very_near,"chair:0.61:541,591,1079,1691"
281,"obstacle right, move left",clear,very_near,"chair:0.47:548,584,1078,1699"
282,"obstacle right, move left",clear,very_near,"chair:0.58:550,587,1078,1709"
283,"obstacle right, move left",clear,very_near,"chair:0.61:555,587,1078,1712"
284,path clear,clear,clear,
285,path clear,clear,clear,
286,path clear,clear,clear,
287,path clear,clear,clear,
288,path clear,clear,clear,
