frame,decision,left_status,right_status,detections
257,path clear,near,near,"oven:0.83:387,398,746,975;microwave:0.78:783,388,978,497;refrigerator:0.54:32,703,321,1388"
258,path clear,near,near,"oven:0.78:405,409,746,977;microwave:0.71:774,386,993,500;refrigerator:0.42:27,704,319,1388"
259,path clear,near,near,"oven:0.84:377,393,742,977;microwave:0.81:786,387,980,495;oven:0.55:422,508,741,983;refrigerator:0.47:23,703,317,1393"
260,path clear,near,near,"oven:0.85:379,391,743,979;microwave:0.77:785,387,976,494;refrigerator:0.42:19,702,314,1397"
261,path clear,near,near,"oven:0.85:371,389,741,980;microwave:0.79:778,387,976,493;oven:0.56:418,505,741,983;refrigerator:0.48:15,703,311,1401;microwave:0.45:451,44,648,304"
262,path clear,near,near,"oven:0.86:352,387,738,979;microwave:0.84:781,386,977,494;microwave:0.58:450,42,640,293;oven:0.54:430,508,738,983"
263,path clear,near,near,"oven:0.82:357,386,735,975;microwave:0.72:766,373,978,498;microwave:0.54:446,38,641,303;oven:0.47:419,502,736,980;refrigerator:0.43:7,701,307,1421"
264,path clear,near,near,"microwave:0.75:763,368,982,496;oven:0.62:340,387,736,973;refrigerator:0.47:7,705,306,1424"
265,path clear,near,near,"oven:0.79:342,387,733,974;microwave:0.77:763,367,977,491;refrigerator:0.47:6,706,306,1415"
266,path clear,near,near,"oven:0.83:342,382,732,972;microwave:0.74:762,365,974,491;refrigerator:0.44:4,706,303,1419"
267,path clear,near,near,"oven:0.83:345,381,729,970;microwave:0.72:764,366,970,484;refrigerator:0.45:4,702,299,1420;microwave:0.44:443,16,639,292"
268,path clear,near,near,"oven:0.81:349,383,731,970;microwave:0.78:762,362,972,479;refrigerator:0.50:3,703,296,1421;microwave:0.43:436,11,633,288"
269,path clear,near,near,"oven:0.82:331,367,726,968;microwave:0.65:759,358,978,477;microwave:0.64:434,9,629,284;refrigerator:0.50:3,705,294,1426"
270,path clear,near,near,"oven:0.79:327,362,726,967;microwave:0.77:758,353,970,473;microwave:0.51:432,3,632,272;refrigerator:0.42:2,705,293,1430"
271,path clear,near,near,"oven:0.83:329,362,727,966;microwave:0.80:760,354,961,469;refrigerator:0.42:2,702,290,1429;microwave:0.41:434,0,628,274"
272,path clear,near,near,"microwave:0.83:753,344,966,467;oven:0.75:316,360,731,967;refrigerator:0.45:1,698,288,1433;microwave:0.40:435,0,627,266"
273,path clear,near,near,"microwave:0.83:751,343,958,467;oven:0.82:309,355,725,967;refrigerator:0.46:0,699,286,1437"
274,path clear,near,near,"microwave:0.84:752,341,962,464;oven:0.77:312,355,724,964;refrigerator:0.44:0,700,284,1447"
275,path clear,near,near,"microwave:0.87:749,341,966,465;oven:0.81:326,356,728,963;microwave:0.43:439,0,619,260"
