frame,decision,left_status,right_status,detections
0,path clear,far,far,"chair:0.75:512,714,744,995"
1,path clear,far,near,"chair:0.75:514,713,745,994;chair:0.43:459,713,860,1402"
2,path clear,far,far,"chair:0.75:516,713,747,992;chair:0.51:714,625,923,1029"
3,path clear,far,far,"chair:0.79:519,711,750,990;chair:0.48:714,628,925,1027"
4,path clear,far,near,"chair:0.73:525,712,759,988;chair:0.59:720,658,928,1032;chair:0.41:466,710,870,1398"
5,path clear,far,near,"chair:0.72:526,709,755,986;chair:0.63:718,623,930,1031;chair:0.47:469,708,867,1390"
6,path clear,far,near,"chair:0.77:529,710,762,986;chair:0.62:725,626,930,1022;chair:0.45:471,707,873,1388"
7,path clear,far,near,"chair:0.75:531,710,760,987;chair:0.62:729,647,935,1023;chair:0.40:472,705,878,1388"
8,path clear,far,far,"chair:0.68:531,708,762,986;chair:0.59:734,637,935,1026"
9,path clear,far,far,"chair:0.61:729,631,936,1026;chair:0.57:531,708,762,986"
10,path clear,clear,far,"chair:0.74:532,707,764,985;chair:0.65:731,650,939,1025"
11,path clear,clear,far,"chair:0.78:533,704,764,985;chair:0.60:733,645,939,1027"
12,path clear,clear,far,"chair:0.80:533,704,764,985;chair:0.62:732,655,939,1031"
13,path clear,clear,far,"chair:0.75:533,702,768,982;chair:0.69:729,648,940,1032"
14,path clear,clear,far,"chair:0.77:533,702,764,982;chair:0.61:731,648,939,1035"
15,path clear,far,far,"chair:0.77:532,702,763,980;chair:0.60:733,653,938,1033"
16,path clear,clear,far,"chair:0.75:532,700,765,979;chair:0.57:730,652,937,1023"
17,path clear,far,far,"chair:0.76:532,700,761,977;chair:0.62:721,618,936,1006"
18,path clear,far,far,"chair:0.63:530,699,762,975;chair:0.56:722,619,932,1005"
19,path clear,far,far,"chair:0.71:529,697,758,974;chair:0.55:723,625,934,1009"
20,path clear,far,far,"chair:0.66:526,696,759,975;chair:0.61:722,630,932,1008"
21,path clear,far,far,"chair:0.69:522,694,752,976;chair:0.59:720,618,932,1014"
22,path clear,far,near,"chair:0.69:719,630,930,1009;chair:0.68:520,692,748,974;chair:0.42:461,690,867,1389"
23,path clear,far,far,"chair:0.75:515,691,747,974;chair:0.49:716,637,927,1008"
24,path clear,far,far,"chair:0.71:513,689,746,972;chair:0.47:716,643,926,1003"
25,path clear,far,far,"chair:0.71:511,687,748,969;chair:0.45:717,635,922,1001"
26,path clear,far,near,"chair:0.74:508,687,743,968;chair:0.63:715,623,922,994;chair:0.41:453,688,856,1390"
27,path clear,far,far,"chair:0.75:505,685,741,966;chair:0.72:713,624,915,985"
28,path clear,far,far,"chair:0.82:504,684,736,966;chair:0.62:710,626,910,984"
29,path clear,far,far,"chair:0.78:501,680,733,963;chair:0.51:698,668,904,990"
30,path clear,far,far,"chair:0.80:497,679,728,960;chair:0.49:695,702,899,992"
31,path clear,far,far,"chair:0.79:493,677,724,957"
32,path clear,far,far,"chair:0.81:489,671,720,954"
33,path clear,far,far,"chair:0.75:485,668,719,951;chair:0.47:681,584,894,986"
34,path clear,far,far,"chair:0.67:484,665,713,946"
35,path clear,far,far,"chair:0.62:478,662,710,943;chair:0.49:679,581,888,983"
36,path clear,near,near,"chair:0.75:475,659,706,942;chair:0.67:675,588,886,977;dining table:0.40:408,933,815,1369"
37,path clear,far,far,"chair:0.81:470,657,702,939;chair:0.60:671,611,883,976"
38,path clear,far,far,"chair:0.80:462,653,699,942;chair:0.50:668,612,879,973"
39,path clear,far,far,"chair:0.78:461,651,695,940;chair:0.45:664,589,876,972"
40,path clear,far,far,"chair:0.79:456,648,691,941"
41,path clear,far,far,"chair:0.73:454,647,690,942;chair:0.45:662,611,875,975"
42,path clear,far,far,"chair:0.81:451,646,687,940;chair:0.52:661,609,875,970"
43,path clear,near,near,"chair:0.76:450,645,685,937;chair:0.51:651,604,873,968;dining table:0.40:380,924,790,1371"
44,path clear,far,far,"chair:0.76:444,646,683,940;chair:0.65:648,605,870,968"
45,path clear,far,far,"chair:0.74:441,643,681,941;chair:0.63:649,605,866,969"
46,path clear,far,far,"chair:0.71:439,643,681,941;chair:0.66:646,601,865,971"
47,path clear,far,far,"chair:0.70:435,644,677,943;chair:0.69:650,605,862,969"
48,path clear,near,near,"chair:0.72:433,642,675,946;chair:0.67:649,604,859,974;dining table:0.44:365,923,778,1374"
49,path clear,far,far,"chair:0.72:431,641,674,947;chair:0.65:642,603,857,981"
50,path clear,far,far,"chair:0.70:430,643,670,943;chair:0.46:637,597,854,982"
51,path clear,far,far,"chair:0.60:425,641,669,946;chair:0.42:638,575,848,976"
52,path clear,far,far,"chair:0.71:424,643,667,945;chair:0.51:635,573,851,981"
53,path clear,far,far,"chair:0.76:422,642,665,945;chair:0.51:641,596,851,982"
54,path clear,far,far,"chair:0.64:418,641,664,945;chair:0.47:625,552,842,978"
55,path clear,far,far,"chair:0.68:415,641,663,947;chair:0.57:625,552,842,978"
56,path clear,far,far,"chair:0.67:414,642,662,946;chair:0.63:626,557,843,981"
57,path clear,far,far,"chair:0.73:411,640,660,949;chair:0.62:624,563,843,979"
58,path clear,near,near,"chair:0.70:409,642,659,945;chair:0.62:623,561,842,980;chair:0.42:334,635,773,1407"
59,path clear,far,far,"chair:0.80:407,643,657,946;chair:0.55:622,598,844,981"
60,path clear,near,near,"chair:0.73:405,642,655,948;chair:0.56:621,583,841,984;chair:0.51:329,636,768,1421"
61,path clear,near,near,"chair:0.70:403,641,652,946;chair:0.58:326,637,759,1415;chair:0.57:620,593,841,983"
62,path clear,near,near,"chair:0.67:401,640,650,946;chair:0.62:621,599,841,988;chair:0.54:323,633,772,1419"
63,path clear,near,near,"chair:0.70:398,639,649,948;chair:0.61:617,592,839,988;chair:0.46:324,628,767,1420"
64,path clear,far,far,"chair:0.72:395,641,647,952;chair:0.59:615,590,837,982"
65,path clear,far,far,"chair:0.71:393,640,647,950;chair:0.68:615,600,838,982"
66,path clear,far,far,"chair:0.68:392,638,646,950;chair:0.58:613,569,835,982"
67,path clear,far,far,"chair:0.75:392,637,645,950;chair:0.62:614,595,837,985"
68,path clear,near,near,"chair:0.80:392,637,644,952;chair:0.70:613,594,837,985;dining table:0.44:310,934,745,1425"
69,path clear,near,near,"chair:0.79:392,637,644,952;chair:0.65:612,592,837,985;dining table:0.41:308,934,745,1427"
70,path clear,near,near,"chair:0.80:392,636,644,950;chair:0.65:611,591,837,986;dining table:0.41:307,933,745,1435"
71,path clear,near,near,"chair:0.79:391,635,644,949;chair:0.62:611,580,837,985;dining table:0.41:307,933,745,1434"
72,path clear,near,near,"chair:0.78:390,634,644,952;chair:0.68:612,594,838,985;dining table:0.41:307,935,745,1436"
73,path clear,far,far,"chair:0.78:389,634,645,955;chair:0.65:613,591,838,986"
74,path clear,far,far,"chair:0.82:389,632,646,958;chair:0.63:621,592,839,987"
75,path clear,far,far,"chair:0.81:390,632,647,959;chair:0.61:622,588,837,985"
76,path clear,far,far,"chair:0.80:390,631,647,957;chair:0.57:620,588,841,987"
77,path clear,far,far,"chair:0.81:390,631,648,959;chair:0.62:619,586,841,985"
78,path clear,far,far,"chair:0.80:392,629,648,954;chair:0.77:619,587,844,985"
79,path clear,far,far,"chair:0.82:392,627,649,954;chair:0.68:619,583,844,985"
80,path clear,far,far,"chair:0.80:392,625,649,955;chair:0.75:619,582,846,985"
81,path clear,far,far,"chair:0.79:392,624,650,955;chair:0.71:620,580,847,987"
82,path clear,far,far,"chair:0.81:391,623,651,959;chair:0.65:621,577,848,988"
83,path clear,far,far,"chair:0.83:390,623,650,959;chair:0.72:621,576,850,986"
84,path clear,near,near,"chair:0.85:390,622,650,966;chair:0.66:621,568,852,989;chair:0.42:309,597,837,1453"
85,path clear,far,far,"chair:0.84:390,622,651,964;chair:0.76:622,572,853,989"
86,path clear,far,far,"chair:0.83:390,619,654,967;chair:0.68:622,565,854,991"
87,path clear,far,far,"chair:0.83:390,620,655,967;chair:0.64:624,553,854,991"
88,path clear,far,far,"chair:0.82:390,620,655,968;chair:0.62:624,543,854,990"
89,path clear,far,far,"chair:0.82:390,618,657,969;chair:0.66:624,553,855,990"
90,path clear,far,far,"chair:0.82:391,618,659,969;chair:0.59:623,530,856,992"
91,path clear,far,far,"chair:0.83:392,617,659,969;chair:0.65:624,532,858,994"
92,path clear,near,near,"chair:0.81:392,618,660,969;chair:0.58:629,546,860,994;chair:0.45:306,615,810,1464"
93,path clear,near,near,"chair:0.78:392,618,661,972;chair:0.62:630,547,861,994;chair:0.50:305,614,822,1463"
94,path clear,far,far,"chair:0.79:392,617,662,972;chair:0.72:630,558,862,995"
95,path clear,near,near,"chair:0.75:392,618,663,979;chair:0.69:630,551,863,999;chair:0.42:303,614,811,1471"
96,path clear,near,near,"chair:0.74:628,550,864,999;chair:0.64:392,617,662,978;chair:0.55:305,615,817,1461"
97,path clear,near,near,"chair:0.75:627,554,865,997;chair:0.72:392,618,663,981;chair:0.59:307,615,830,1469"
98,path clear,near,near,"chair:0.78:626,557,865,1002;chair:0.69:393,618,662,981;chair:0.41:305,615,821,1481"
99,stop,very_near,very_near,"chair:0.78:392,619,663,986;chair:0.74:624,546,865,1005;chair:0.46:304,614,818,1485"
100,stop,very_near,very_near,"chair:0.79:391,618,662,989;chair:0.66:626,534,864,1004;chair:0.48:302,617,809,1485"
101,stop,very_near,very_near,"chair:0.76:392,619,663,985;chair:0.66:627,537,863,1007;chair:0.43:301,617,805,1487"
102,path clear,far,far,"chair:0.78:389,619,663,988;chair:0.61:626,542,863,1010"
103,stop,very_near,very_near,"chair:0.78:387,618,662,992;chair:0.51:627,541,861,1013;chair:0.41:300,613,797,1530"
104,path clear,far,far,"chair:0.77:384,617,663,993;chair:0.63:624,541,861,1009"
105,path clear,far,far,"chair:0.77:382,617,661,995;chair:0.53:618,550,860,1005"
106,path clear,far,far,"chair:0.76:381,617,657,995;chair:0.62:616,552,860,1004"
107,path clear,far,far,"chair:0.77:381,615,655,998;chair:0.59:614,553,858,1007"
108,path clear,far,far,"chair:0.74:378,615,659,997;chair:0.60:613,540,857,1010"
