frame,decision,left_status,right_status,detections
0,path clear,far,far,"chair:0.61:590,634,745,924;chair:0.47:536,621,627,847"
1,path clear,far,far,"chair:0.60:595,633,745,925;chair:0.48:543,627,637,840"
2,path clear,far,far,"chair:0.62:600,633,746,922;chair:0.47:543,628,630,840"
3,path clear,far,far,"chair:0.66:600,633,746,923;chair:0.47:545,621,636,835"
4,path clear,far,far,"chair:0.68:598,632,747,923;chair:0.54:546,619,637,834"
5,path clear,far,far,"chair:0.69:596,632,747,923;chair:0.57:549,620,637,834"
6,path clear,far,far,"chair:0.68:599,633,747,922;chair:0.60:550,620,637,834"
7,path clear,far,far,"chair:0.62:596,633,747,922;chair:0.58:551,620,637,834"
8,path clear,far,far,"chair:0.64:597,630,747,923;chair:0.56:550,620,637,835"
9,path clear,far,far,"chair:0.62:597,629,747,922;chair:0.55:548,620,638,836"
10,path clear,far,far,"chair:0.63:599,630,749,922;chair:0.58:548,619,639,836"
11,path clear,far,far,"chair:0.66:600,628,750,922;chair:0.57:549,626,640,839"
12,path clear,far,far,"chair:0.73:600,627,750,922;chair:0.57:549,618,641,836"
13,path clear,far,far,"chair:0.72:603,627,751,921;chair:0.56:552,617,641,836"
14,path clear,far,far,"chair:0.71:599,626,752,921;chair:0.57:553,617,641,837"
15,path clear,far,far,"chair:0.70:600,627,753,923;chair:0.56:553,617,641,837"
16,path clear,far,far,"chair:0.71:599,625,753,923;chair:0.57:552,615,640,838"
17,path clear,far,far,"chair:0.67:596,624,754,924;chair:0.46:552,615,640,837"
18,path clear,clear,far,"chair:0.70:599,624,756,918"
19,path clear,far,far,"chair:0.69:598,624,756,921;chair:0.42:552,608,641,835"
20,path clear,far,far,"chair:0.72:596,624,757,923;chair:0.49:553,611,641,837"
21,path clear,far,far,"chair:0.72:595,624,758,927;chair:0.57:554,614,642,839"
22,path clear,far,far,"chair:0.70:597,627,759,926;chair:0.63:554,612,643,838"
23,path clear,far,far,"chair:0.64:598,627,760,927;chair:0.57:553,613,642,838"
24,path clear,far,far,"chair:0.62:597,625,761,927;chair:0.44:554,612,641,839"
25,path clear,clear,far,"chair:0.64:599,625,763,928"
26,path clear,far,far,"chair:0.56:607,627,765,925;chair:0.43:554,612,642,840"
27,path clear,far,far,"chair:0.52:605,626,766,915;chair:0.42:555,615,643,843"
28,path clear,far,far,"chair:0.56:609,627,765,914;chair:0.47:557,617,644,839"
29,path clear,far,far,"chair:0.60:610,630,767,913;chair:0.49:558,619,644,835"
30,path clear,far,far,"chair:0.68:608,630,770,914;chair:0.46:560,619,647,837"
31,path clear,far,far,"chair:0.61:609,632,770,916;chair:0.42:562,619,645,840"
32,path clear,far,far,"chair:0.64:612,631,771,913;chair:0.44:562,619,648,843"
33,path clear,far,far,"chair:0.66:612,633,773,891;chair:0.46:564,619,649,846"
34,path clear,far,far,"chair:0.63:612,632,775,900;chair:0.48:568,620,649,846"
35,path clear,far,far,"chair:0.57:618,632,775,919;chair:0.43:569,621,647,848"
36,path clear,far,far,"chair:0.58:617,637,777,917;chair:0.42:568,624,646,849"
37,path clear,far,far,"chair:0.51:613,636,778,887;chair:0.43:566,623,650,837"
38,path clear,far,far,"chair:0.41:567,623,650,839"
39,path clear,clear,far,"chair:0.45:616,640,781,929"
40,path clear,far,far,"chair:0.51:613,638,781,929;chair:0.42:567,623,651,849"
41,path clear,far,far,"chair:0.59:615,638,782,934;chair:0.41:569,623,653,852"
42,path clear,clear,far,"chair:0.61:613,637,783,936"
43,path clear,far,far,"chair:0.59:613,637,783,935;chair:0.45:567,616,654,845"
44,path clear,far,far,"chair:0.60:614,638,783,931;chair:0.41:569,616,655,844"
45,path clear,clear,far,"chair:0.60:614,637,783,926"
46,path clear,clear,far,"chair:0.56:616,637,784,925"
47,path clear,clear,far,"chair:0.55:618,639,786,920"
48,path clear,clear,far,"chair:0.46:622,639,787,925"
49,path clear,far,far,"chair:0.49:623,639,787,929;chair:0.44:571,619,665,840"
50,path clear,far,far,"chair:0.59:621,638,786,925;chair:0.48:569,617,664,841"
51,path clear,far,far,"chair:0.62:620,631,788,888;chair:0.52:569,616,664,841"
52,path clear,far,far,"chair:0.70:617,631,788,895;chair:0.55:571,618,664,839"
53,path clear,far,far,"chair:0.71:618,629,788,906;chair:0.54:571,616,664,838"
54,path clear,far,far,"chair:0.71:617,627,790,903;chair:0.56:570,614,664,838"
55,path clear,far,far,"chair:0.67:617,625,791,904;chair:0.51:572,614,665,840"
56,path clear,far,far,"chair:0.60:618,626,791,892;chair:0.51:572,615,665,840"
57,path clear,far,far,"chair:0.65:620,623,792,896;chair:0.49:573,614,666,843"
58,path clear,far,far,"chair:0.66:621,619,792,900;chair:0.52:573,613,666,843"
59,path clear,far,far,"chair:0.57:622,624,792,913;chair:0.53:574,612,666,842"
60,path clear,far,far,"chair:0.59:622,624,793,919;chair:0.51:573,610,666,843"
61,path clear,far,far,"chair:0.59:621,623,794,917;chair:0.56:574,610,667,843"
62,path clear,far,far,"chair:0.58:622,623,794,916;chair:0.57:574,612,667,844"
63,path clear,far,far,"chair:0.54:575,622,667,849;chair:0.53:623,624,794,919"
64,path clear,far,far,"chair:0.55:575,622,667,849;chair:0.50:622,622,794,913"
65,path clear,far,far,"chair:0.53:575,621,667,852;chair:0.52:624,619,795,918"
66,path clear,far,far,"chair:0.57:623,617,795,918;chair:0.48:574,621,667,854"
67,path clear,far,far,"chair:0.54:574,611,667,847;chair:0.50:621,621,796,914"
68,path clear,far,far,"chair:0.67:576,624,668,852;chair:0.45:635,636,796,937"
69,path clear,far,far,"chair:0.67:576,623,672,849;chair:0.54:618,629,798,922"
70,path clear,far,far,"chair:0.61:576,610,675,843;chair:0.59:620,629,798,931"
71,path clear,far,far,"chair:0.57:578,624,673,854;chair:0.56:622,633,799,932"
72,path clear,far,far,"chair:0.61:622,628,800,939;chair:0.53:577,623,673,852"
73,path clear,far,far,"chair:0.60:623,633,802,934;chair:0.42:577,624,673,853"
74,path clear,clear,far,"chair:0.62:621,628,804,916"
75,path clear,clear,far,"chair:0.50:626,631,805,930"
76,path clear,clear,far,"chair:0.43:624,627,807,935"
77,path clear,clear,far,"chair:0.54:624,625,809,924"
78,path clear,clear,far,"chair:0.52:624,621,810,928"
79,path clear,clear,far,"chair:0.60:623,623,812,926"
80,path clear,clear,far,"chair:0.60:627,623,814,914"
81,path clear,clear,far,"chair:0.55:630,627,817,908"
82,path clear,far,far,"chair:0.56:637,628,818,919;chair:0.46:594,624,689,855"
83,path clear,far,far,"chair:0.63:635,627,819,905;chair:0.40:597,624,687,853"
84,path clear,far,far,"chair:0.59:636,626,822,910;chair:0.42:598,624,690,853"
85,path clear,clear,far,"chair:0.62:638,625,823,920"
86,path clear,clear,far,"chair:0.65:637,625,823,916"
87,path clear,clear,far,"chair:0.71:638,625,823,924"
88,path clear,clear,far,"chair:0.75:639,626,824,920"
89,path clear,clear,far,"chair:0.72:639,628,825,925"
90,path clear,clear,far,"chair:0.67:639,627,826,929"
91,path clear,far,far,"chair:0.62:637,625,827,937;chair:0.40:603,612,692,843"
92,path clear,clear,far,"chair:0.60:646,630,829,945"
93,path clear,clear,far,"chair:0.63:644,633,831,923"
94,path clear,clear,far,"chair:0.63:651,628,833,947"
95,path clear,clear,far,"chair:0.66:650,632,835,926"
96,path clear,clear,far,"chair:0.64:655,632,835,924;chair:0.48:606,618,693,840"
97,path clear,clear,far,"chair:0.64:655,632,837,928;chair:0.49:606,618,694,836"
98,path clear,clear,far,"chair:0.66:659,633,839,932;chair:0.53:605,617,695,837"
99,path clear,clear,far,"chair:0.66:661,633,840,927;chair:0.47:605,617,695,840"
100,path clear,clear,far,"chair:0.65:666,632,841,929;chair:0.44:607,617,697,840"
101,path clear,clear,far,"chair:0.64:672,636,842,926;chair:0.48:609,618,698,840;chair:0.43:848,1783,1079,1918"
102,path clear,clear,far,"chair:0.63:667,632,842,925;chair:0.44:608,616,699,841;chair:0.42:851,1787,1079,1918"
103,path clear,clear,far,"chair:0.67:666,635,842,928;chair:0.44:612,616,700,862"
