frame,decision,left_status,right_status,detections
0,path clear,near,far,"chair:0.91:343,554,628,993;dining table:0.60:3,950,432,1532;chair:0.51:632,493,785,781"
1,path clear,near,far,"chair:0.91:344,554,630,989;dining table:0.63:3,949,434,1535;chair:0.41:638,494,786,780"
2,path clear,near,far,"chair:0.92:344,554,629,989;dining table:0.58:4,950,434,1532;chair:0.43:637,493,786,780"
3,path clear,near,far,"chair:0.92:344,554,631,989;dining table:0.61:4,949,434,1534"
4,path clear,near,far,"chair:0.92:344,554,633,991;dining table:0.60:3,947,435,1535"
5,path clear,near,far,"chair:0.92:344,553,633,989;dining table:0.59:3,947,437,1534;chair:0.45:639,492,787,778"
6,path clear,near,far,"chair:0.92:345,552,634,992;dining table:0.59:3,947,439,1534;chair:0.44:640,492,787,775"
7,path clear,near,far,"chair:0.91:346,551,633,990;dining table:0.56:3,947,439,1531;chair:0.44:640,491,788,776"
8,path clear,near,far,"chair:0.91:346,551,634,989;dining table:0.53:2,946,439,1528;chair:0.46:642,490,788,775"
9,path clear,near,far,"chair:0.90:347,550,634,984;dining table:0.56:3,947,439,1530;chair:0.50:639,487,789,776"
10,path clear,near,far,"chair:0.92:347,549,635,986;chair:0.59:637,487,789,778;dining table:0.57:2,946,437,1530"
11,path clear,near,far,"chair:0.92:348,549,637,991;chair:0.63:639,486,789,777;dining table:0.60:2,946,438,1530"
12,path clear,near,far,"chair:0.91:347,548,638,988;chair:0.64:636,488,790,767;dining table:0.60:2,945,436,1533"
13,path clear,near,far,"chair:0.91:348,548,638,997;dining table:0.58:2,945,437,1532;chair:0.56:638,487,790,767"
14,path clear,near,far,"chair:0.92:350,548,638,991;dining table:0.57:2,945,437,1531;chair:0.46:641,486,791,764"
15,path clear,near,far,"chair:0.93:352,547,639,995;dining table:0.58:2,944,441,1529;chair:0.55:638,485,791,764"
16,path clear,near,far,"chair:0.93:352,545,639,995;dining table:0.61:2,943,439,1527;chair:0.59:636,485,792,769"
17,path clear,near,far,"chair:0.92:352,543,640,991;dining table:0.60:2,942,441,1527;chair:0.50:636,483,793,738"
18,path clear,near,far,"chair:0.91:351,543,639,991;dining table:0.59:2,940,441,1524;chair:0.46:635,481,793,742"
19,path clear,near,far,"chair:0.92:353,543,640,991;dining table:0.61:2,937,442,1521;chair:0.50:634,479,794,769"
20,path clear,near,far,"chair:0.93:355,543,640,995;dining table:0.63:2,937,444,1523;chair:0.56:630,478,795,760"
21,path clear,near,far,"chair:0.93:355,542,641,990;dining table:0.65:2,937,444,1525;chair:0.62:631,476,796,771"
22,path clear,near,far,"chair:0.92:356,541,641,986;dining table:0.63:2,934,445,1524;chair:0.62:631,475,797,770"
23,path clear,near,far,"chair:0.91:356,540,640,985;chair:0.69:640,474,797,772;dining table:0.57:3,932,447,1525"
